time,time(sol days),Distance from Sun (km), Distance from Sun (AU),max/min
0,0,1.52041e+008,1.01633,aphelion,2.83648e+016perihelion
1,1,1.52019e+008,1.01618,perihelion
2,2,1.51996e+008,1.01603,perihelion
3,3,1.51971e+008,1.01586,perihelion
4,4,1.51946e+008,1.01569,perihelion
5,5,1.51919e+008,1.01551,perihelion
6,6,1.51891e+008,1.01533,perihelion
7,7,1.51862e+008,1.01513,perihelion
8,8,1.51831e+008,1.01493,perihelion
9,9,1.518e+008,1.01472,perihelion
10,10,1.51767e+008,1.0145,perihelion
11,11,1.51734e+008,1.01428,perihelion
12,12,1.51699e+008,1.01404,perihelion
13,13,1.51663e+008,1.01381,perihelion
14,14,1.51626e+008,1.01356,perihelion
15,15,1.51589e+008,1.01331,perihelion
16,16,1.5155e+008,1.01305,perihelion
17,17,1.5151e+008,1.01278,perihelion
18,18,1.51469e+008,1.0125,perihelion
19,19,1.51426e+008,1.01222,perihelion
20,20,1.51383e+008,1.01193,perihelion
21,21,1.51339e+008,1.01164,perihelion
22,22,1.51294e+008,1.01134,perihelion
23,23,1.51248e+008,1.01103,perihelion
24,24,1.51201e+008,1.01072,perihelion
25,25,1.51153e+008,1.0104,perihelion
26,26,1.51104e+008,1.01007,perihelion
27,27,1.51055e+008,1.00974,perihelion
28,28,1.51004e+008,1.0094,perihelion
29,29,1.50952e+008,1.00905,perihelion
30,30,1.509e+008,1.0087,perihelion
31,31,1.50847e+008,1.00835,perihelion
32,32,1.50792e+008,1.00798,perihelion
33,33,1.50737e+008,1.00762,perihelion
34,34,1.50681e+008,1.00724,perihelion
35,35,1.50625e+008,1.00686,perihelion
36,36,1.50567e+008,1.00648,perihelion
37,37,1.50509e+008,1.00609,perihelion
38,38,1.5045e+008,1.0057,perihelion
39,39,1.5039e+008,1.0053,perihelion
40,40,1.5033e+008,1.00489,perihelion
41,41,1.50269e+008,1.00448,perihelion
42,42,1.50207e+008,1.00407,perihelion
43,43,1.50144e+008,1.00365,perihelion
44,44,1.50081e+008,1.00323,perihelion
45,45,1.50017e+008,1.0028,perihelion
46,46,1.49953e+008,1.00237,perihelion
47,47,1.49888e+008,1.00194,perihelion
48,48,1.49822e+008,1.0015,perihelion
49,49,1.49756e+008,1.00106,perihelion
50,50,1.49689e+008,1.00061,perihelion
51,51,1.49622e+008,1.00016,perihelion
52,52,1.49554e+008,0.999706,perihelion
53,53,1.49486e+008,0.99925,perihelion
54,54,1.49417e+008,0.99879,perihelion
55,55,1.49348e+008,0.998328,perihelion
56,56,1.49278e+008,0.997862,perihelion
57,57,1.49208e+008,0.997394,perihelion
58,58,1.49138e+008,0.996924,perihelion
59,59,1.49067e+008,0.99645,perihelion
60,60,1.48996e+008,0.995975,perihelion
61,61,1.48924e+008,0.995497,perihelion
62,62,1.48853e+008,0.995018,perihelion
63,63,1.48781e+008,0.994536,perihelion
64,64,1.48708e+008,0.994053,perihelion
65,65,1.48636e+008,0.993568,perihelion
66,66,1.48563e+008,0.993082,perihelion
67,67,1.4849e+008,0.992594,perihelion
68,68,1.48417e+008,0.992105,perihelion
69,69,1.48344e+008,0.991615,perihelion
70,70,1.4827e+008,0.991125,perihelion
71,71,1.48197e+008,0.990633,perihelion
72,72,1.48123e+008,0.990142,perihelion
73,73,1.4805e+008,0.989649,perihelion
74,74,1.47976e+008,0.989157,perihelion
75,75,1.47902e+008,0.988664,perihelion
76,76,1.47828e+008,0.988171,perihelion
77,77,1.47755e+008,0.987679,perihelion
78,78,1.47681e+008,0.987187,perihelion
